alias,canonico
C/S INDEPENDENCIA,C/S Independencia
C/S LA YAGUARA,C/S La Yaguara
C/S METROPOLITANO,C/S Metropolitano
C/S NIRGUA,C/S Nirgua
C/S PANAMERICANO,C/S Panamericano
C/S SANTA TERESA,C/S Santa Teresa
C/S Urdaneta,C/S Urdaneta
C/S panamericano,C/S Panamericano
C/S panamericano el vigia estado merida,C/S Panamericano El Vigia Estado Merida
CABIMAS,Cabimas
CABUDARE,Cabudare
CAGUA,Cagua
CAICARA,Caicara
CAJA SECA,Caja Seca
CALABOZO,Calabozo
CALLE 16 ENTRE AV. 2 Y 3 MERIDA,Calle 16 Entre Av. 2 Y 3 Merida
CALLE INDEPENDECIA SANTO DOMINGO,Calle Independecia Santo Domingo
CALLE INDEPENDENCIA A MUCUCHIES,Calle Independencia A Mucuchies
CALLE INDEPENDENCIA SANTO DOMINGO,Calle Independencia Santo Domingo
CALLE LA MATICA URB. BELENZATE,Calle La Matica Urb. Belenzate
CALLE LA PLANTA – TUCUPITA,Calle La Planta – Tucupita
CAMAGUAN,Camaguan
CAMPAMENTO BASICO SANTA MARIA DE CAPARO,Campamento Basico Santa Maria De Caparo
CAMPAMENTO GURI,Campamento Guri
CAMPAMENTO MACAGUA,Campamento Macagua
CANAIMA,Canaima
CANTON,Canton
CAPITAL,Capital
CAPITAL- CALIDAD DE APOYO A EDC NETWORK,Capital- Calidad De Apoyo A Edc Network
CARABOBO,Carabobo
CARACAS,Caracas
CARACAS EN LA GERENCIA DE ASHO,Caracas En La Gerencia De Asho
CARACHE,Carache
CARIPE,Caripe
CARIPITO/ MUNICIPIO BOLIVAR,Caripito/ Municipio Bolivar
CARLOS ARVELO,Carlos Arvelo
CARORA,Carora
CARUACHI,Caruachi
CASIGUA,Casigua
CAUAJARITO (ZULIA),Cauajarito (Zulia)
CAÑADA DE URDANETA,Cañada De Urdaneta
CD BOLIVAR,Cd Bolivar
CD. BOLIVAR,Cd. Bolivar
CED SUCRE,Ced Sucre
CENTR0 DE SERVICI0 GUANAPE,Centr0 De Servici0 Guanape
CENTRAL HIDROELECTRICA,Central Hidroelectrica
CENTRAL HIDROELECTRICA FABRICIO OJEDA,Central Hidroelectrica Fabricio Ojeda
CENTRAL HIDROELECTRICA LEONARDO RUIZ PINEDA,Central Hidroelectrica Leonardo Ruiz Pineda
CENTRAL HIDROELECTRICA SAN AGATON,Central Hidroelectrica San Agaton
CENTRO ADMINISTRATIVO PUERTO AYACUCHO,Centro Administrativo Puerto Ayacucho
CENTRO DE DISTRIBUCIÓN SAN CARLOS,Centro De Distribución San Carlos
CENTRO DE MANTENIMIENTO MACAGUA,Centro De Mantenimiento Macagua
CENTRO DE OPERACIONES CAUJARITO,Centro De Operaciones Caujarito
CENTRO DE OPERACIONES MAGUAPA,Centro De Operaciones Maguapa
CENTRO DE SERV. TUREN,Centro De Serv. Turen
CENTRO DE SERVICIO ACARIGUA,Centro De Servicio Acarigua
CENTRO DE SERVICIO BARBECHO,Centro De Servicio Barbecho
CENTRO DE SERVICIO BISCUCUY,Centro De Servicio Biscucuy
CENTRO DE SERVICIO CAHACAO,Centro De Servicio Cahacao
CENTRO DE SERVICIO CAPITAL,Centro De Servicio Capital
CENTRO DE SERVICIO CHACAO,Centro De Servicio Chacao
CENTRO DE SERVICIO CHARALLAVE,Centro De Servicio Charallave
CENTRO DE SERVICIO CHICHIRIVICHE,Centro De Servicio Chichiriviche
CENTRO DE SERVICIO CONVENTO,Centro De Servicio Convento
CENTRO DE SERVICIO CUA,Centro De Servicio Cua
CENTRO DE SERVICIO EL BARBECHO,Centro De Servicio El Barbecho
CENTRO DE SERVICIO EL CONVENTO CARACAS,Centro De Servicio El Convento Caracas
CENTRO DE SERVICIO EL TIGRE,Centro De Servicio El Tigre
CENTRO DE SERVICIO GUANAPE,Centro De Servicio Guanape
CENTRO DE SERVICIO GUANARE,Centro De Servicio Guanare
CENTRO DE SERVICIO GUANARE - GUANARITO,Centro De Servicio Guanare - Guanarito
CENTRO DE SERVICIO GUARENAS,Centro De Servicio Guarenas
CENTRO DE SERVICIO GUARENAS GUATIRE,Centro De Servicio Guarenas Guatire
CENTRO DE SERVICIO GUARENAS-GUATIRE,Centro De Servicio Guarenas-Guatire
CENTRO DE SERVICIO HIGUEROTE,Centro De Servicio Higuerote
CENTRO DE SERVICIO LA YAGUARA,Centro De Servicio La Yaguara
CENTRO DE SERVICIO METROPOLITANO,Centro De Servicio Metropolitano
CENTRO DE SERVICIO PALA VECINO,Centro De Servicio Pala Vecino
CENTRO DE SERVICIO PALAVECINO,Centro De Servicio Palavecino
CENTRO DE SERVICIO RIO CHICO,Centro De Servicio Rio Chico
CENTRO DE SERVICIO SAN ANTONIO,Centro De Servicio San Antonio
CENTRO DE SERVICIO SAN FELIPE,Centro De Servicio San Felipe
CENTRO DE SERVICIO SAN LORENZO,Centro De Servicio San Lorenzo
CENTRO DE SERVICIO SANTA TERESA,Centro De Servicio Santa Teresa
CENTRO DE SERVICIO SANTA TERESAIII,Centro De Servicio Santa Teresaiii
CENTRO DE SERVICIO TUREN,Centro De Servicio Turen
CENTRO DE SERVICIO VALENCIA SUR,Centro De Servicio Valencia Sur
CENTRO DE SERVICIOS CAUCAGUA,Centro De Servicios Caucagua
CENTRO DE SERVICIOS CHACAO,Centro De Servicios Chacao
CENTRO DE SERVICIOS ELEGGUA,Centro De Servicios Eleggua
CENTRO DE SERVICIOS ELEGGUA MIRANDA,Centro De Servicios Eleggua Miranda
CENTRO DE SERVICIOS EZEQUIEL ZAMORA,Centro De Servicios Ezequiel Zamora
CENTRO DE SERVICIOS GUARENAS GUATIRE,Centro De Servicios Guarenas Guatire
CENTRO DE SERVICIOS METROPOLITANO,Centro De Servicios Metropolitano
CENTRO DE SERVICIOS NUEVA BOLIVIA,Centro De Servicios Nueva Bolivia
CENTRO DE SERVICIOS RIO CHICO,Centro De Servicios Rio Chico
CENTRO DE SERVICIOS SABANETA,Centro De Servicios Sabaneta
CENTRO DE SERVICO CONVENTO,Centro De Servico Convento
CENTRO DE SERVICOS CHACAO,Centro De Servicos Chacao
CENTRO DE SRVICIOS ELEGGUA,Centro De Srvicios Eleggua
CENTRO ESTADAL DE DESPACHO PORTUGUESA,Centro Estadal De Despacho Portuguesa
CENTRO SUR (ZULIA),Centro Sur (Zulia)
CG ISLA DE COCHE,Cg Isla De Coche
CG JUAN BAUTISTA,Cg Juan Bautista
CG JUAN BAUTISTA ARISMENDI,Cg Juan Bautista Arismendi
CG LUISA CACERES,Cg Luisa Caceres
CG LUISA CACERES ARISMENDI,Cg Luisa Caceres Arismendi
CG PLANTA COCHE,Cg Planta Coche
CH FABRICIO OJEDA,Ch Fabricio Ojeda
CH LEONARDO RUIZ PINEDA,Ch Leonardo Ruiz Pineda
CHACAO,Chacao
CIAU ACARIGUA,Ciau Acarigua
CIAU ANACO,Ciau Anaco
CIAU BARCELONA I,Ciau Barcelona I
CIAU BARCELONA II,Ciau Barcelona Ii
CIAU BARINAS I,Ciau Barinas I
CIAU BARINITAS,Ciau Barinitas
CIAU BISCUCUY,Ciau Biscucuy
CIAU BOCA DE RIO,Ciau Boca De Rio
CIAU BOCONO,Ciau Bocono
CIAU CAJA SECA,Ciau Caja Seca
CIAU CANAGUA,Ciau Canagua
CIAU CAPACHO,Ciau Capacho
CIAU CAÑO ZANCUDO,Ciau Caño Zancudo
CIAU CAÑO ZANCUDO SANTA ELELNA DE ARENALES NO. 3-38,Ciau Caño Zancudo Santa Elelna De Arenales No. 3-38
CIAU CLARINES,Ciau Clarines
CIAU COLON,Ciau Colon
CIAU COLONCITO,Ciau Coloncito
CIAU EJIDO,Ciau Ejido
CIAU EL CANTON,Ciau El Canton
CIAU EL MORRO,Ciau El Morro
CIAU EL PIÑAL,Ciau El Piñal
CIAU EL TIGRE,Ciau El Tigre
CIAU EL TIGRITO,Ciau El Tigrito
CIAU EL VIGÍA,Ciau El Vigía
CIAU GUANARE,Ciau Guanare
CIAU JUAN GRIEGO,Ciau Juan Griego
CIAU LA ASUNCION,Ciau La Asuncion
CIAU LA FRIA,Ciau La Fria
CIAU LA GRITA,Ciau La Grita
CIAU LA PEDRERA,Ciau La Pedrera
CIAU LAGUNILLAS,Ciau Lagunillas
CIAU MUCUCHIES,Ciau Mucuchies
CIAU Mucuchies,Ciau Mucuchies
CIAU PAMPATAR,Ciau Pampatar
CIAU PORLAMAR,Ciau Porlamar
CIAU PREGONERO,Ciau Pregonero
CIAU PUERTO LA CRUZ,Ciau Puerto La Cruz
CIAU QUENIQUEA,Ciau Queniquea
CIAU RUBIO,Ciau Rubio
CIAU SAB MENDOZA,Ciau Sab Mendoza
CIAU SAN ANTONIO,Ciau San Antonio
CIAU SAN CRSITOBAL III,Ciau San Crsitobal Iii
CIAU SANTA ANA,Ciau Santa Ana
CIAU SANTO  DOMINGO,Ciau Santo  Domingo
CIAU TARIBA,Ciau Tariba
CIAU UREÑA,Ciau Ureña
CIAU VIGIA,Ciau Vigia
CIAU VILLA ROSA,Ciau Villa Rosa
CIAU.STA. BARBARA,Ciau.Sta. Barbara
CIUDAD BOLIVAR,Ciudad Bolivar
CIUDAD NUTRIA,Ciudad Nutria
CIUDAD PIAR,Ciudad Piar
CND,Cnd
COLON,Colon
COLONCITO-LA TENDIDA,Coloncito-La Tendida
COLONIA TOVAR,Colonia Tovar
COMANDO DE LA GUARDIA,Comando De La Guardia
COMANDO DE LA GUARDIA MACAGUA.,Comando De La Guardia Macagua.
COMERCIAL,Comercial
COMERCIAL BIRUACA,Comercial Biruaca
COMERCIAL ELORZA,Comercial Elorza
COMERCIAL GUASDUALITO,Comercial Guasdualito
COMERCIAL MANTECAL,Comercial Mantecal
COMERCIAL SAN FERNANDO,Comercial San Fernando
COMERCIAL TORRE 4,Comercial Torre 4
COMERCIALIZACION,Comercializacion
COMERCIALSAN FERNANDO,Comercialsan Fernando
COMPLEJO GENERADOR JOSEFA JOAQUINA SANCHEZ BASTIDAS TACOA,Complejo Generador Josefa Joaquina Sanchez Bastidas Tacoa
COMPLEJO GENERADOR JOSEFA JOAQUINA SÁNCHEZ BASTIDAS,Complejo Generador Josefa Joaquina Sánchez Bastidas
CONCEPCION,Concepcion
CONSULT. JURIDICA,Consult. Juridica
CONVENTO,Convento
COORD. DE TRANSMISION,Coord. De Transmision
COORD. DPTO. OPERATIVO CONTROL OPERATIVO COMERCIAL,Coord. Dpto. Operativo Control Operativo Comercial
COORDINACION DE ATENCION AL PUBLICO Y OPERATIVA COMERCIAL CS TP C SAN FDO - APURE.,Coordinacion De Atencion Al Publico Y Operativa Comercial Cs Tp C San Fdo - Apure.
CORPOZULIA,Corpozulia
COTA (ZULIA),Cota (Zulia)
CS ANACO,Cs Anaco
CS BARQUISIMETO,Cs Barquisimeto
CS CARORA,Cs Carora
CS CHACAO,Cs Chacao
CS CLARINES,Cs Clarines
CS DUACA,Cs Duaca
CS EL TIGRE,Cs El Tigre
CS JUAN GRIEGO,Cs Juan Griego
CS JUANGRIEGO,Cs Juangriego
CS LA FRIA,Cs La Fria
CS METROPOLITANO,Cs Metropolitano
CS MORROPO,Cs Morropo
CS PALAVECINO,Cs Palavecino
CS PAMPATAR,Cs Pampatar
CS PARIAGUAN,Cs Pariaguan
CS QUIBOR TOCUYO,Cs Quibor Tocuyo
CS QUIBOR-TOCUYO,Cs Quibor-Tocuyo
CS Quibor,Cs Quibor
CS SAN ANTONIO,Cs San Antonio
CS SAN LORENSO,Cs San Lorenso
CS SAN LORENZO,Cs San Lorenzo
CS SOCOPO/CDAD BOLIVIA,Cs Socopo/Cdad Bolivia
CUARTEL DE LA MONTAÑA,Cuartel De La Montaña
CUMANA,Cumana
Cabudare,Cabudare
Calle 16 avenida 2 y 3,Calle 16 Avenida 2 Y 3
Calle 17 entre avenida 2 y 3,Calle 17 Entre Avenida 2 Y 3
Camaguan,Camaguan
Carora,Carora
Centro Servicio Quibor-tocuyo,Centro Servicio Quibor-Tocuyo
Centro de Servicio zarabon,Centro De Servicio Zarabon
Centro de servicio Independencia,Centro De Servicio Independencia
Centro de servicio churuguara,Centro De Servicio Churuguara
Centro de servicio san felipe,Centro De Servicio San Felipe
Ciau Canagua,Ciau Canagua
Ciau Tucacas,Ciau Tucacas
Ciau panamericano el vigia estado merida,Ciau Panamericano El Vigia Estado Merida
Cs Quibor tocuyo,Cs Quibor Tocuyo
Cs metropolitano los curos,Cs Metropolitano Los Curos
D.D. CUMANA,D.D. Cumana
DELTA AMACURO,Delta Amacuro
DESARROLLO,Desarrollo
DESINCORPORADO,Desincorporado
DIEKMAN / MONTEZUMA  / (LAS ACACIAS),Diekman / Montezuma  / (Las Acacias)
DIEKMAN / MONTEZUMA / (LAS ACACIAS),Diekman / Montezuma / (Las Acacias)
DIEKMAN /MONTEZUMA / LAS ACACIAS,Diekman /Montezuma / Las Acacias
DISTRIBUCION,Distribucion
DISTRIBUCION ACHAGUAS,Distribucion Achaguas
DISTRIBUCION BRUZUAL,Distribucion Bruzual
DISTRIBUCION GUASDUALITO,Distribucion Guasdualito
DISTRIBUCION MANTECAL,Distribucion Mantecal
DISTRIBUCION PEDRO CAMEJO,Distribucion Pedro Camejo
DISTRIBUCION SAN CARLOS,Distribucion San Carlos
DISTRIBUCION SAN FERNANDO,Distribucion San Fernando
DISTRIBUCION SECCION DE LINEA ARICHUNA,Distribucion Seccion De Linea Arichuna
DISTRIBUCION SECCION DE LINEAS PALMARITO,Distribucion Seccion De Lineas Palmarito
DISTRIBUIDORA FAGC (VALENCIA),Distribuidora Fagc (Valencia)
DISTRIBUIDORA HL,Distribuidora Hl
"DISTRIBUIDORA HL , ESTADO MERIDA","Distribuidora Hl , Estado Merida"
"DISTRIBUIDORA HL ,CONJUNTO INDUSTRIAL Y COMERCIAL SAN FRANCISCO GALPON N° 12 SAN CRISTOBAL ESTADO TACHIRA","Distribuidora Hl ,Conjunto Industrial Y Comercial San Francisco Galpon N° 12 San Cristobal Estado Tachira"
DISTRIBUIDORA MULTIPLE MARTINEZ (CORO),Distribuidora Multiple Martinez (Coro)
DISTRITO  CHURUGUARA,Distrito  Churuguara
DISTRITO  CORO,Distrito  Coro
DISTRITO  DABAJURO,Distrito  Dabajuro
DISTRITO  PUNTO FIJO,Distrito  Punto Fijo
DISTRITO CHURUGUARA,Distrito Churuguara
DISTRITO CORO,Distrito Coro
DISTRITO DABAJURO,Distrito Dabajuro
DISTRITO ELORZA,Distrito Elorza
DISTRITO MIRIMIRE,Distrito Mirimire
DISTRITO PTO FIJO,Distrito Pto Fijo
DISTRITO PUNTO FIJO,Distrito Punto Fijo
DISTRITO SAN CRISTOBAL,Distrito San Cristobal
DISTRITO TUCACAS,Distrito Tucacas
DISTRITOPUNTO FIJO,Distritopunto Fijo
DIV. DE ADMINISTRACION DE VEHICULOS,Div. De Administracion De Vehiculos
DIV. DE BIENES Y SERVICIOS INFRAESTRUCTURA,Div. De Bienes Y Servicios Infraestructura
DIV. DESARROLLO,Div. Desarrollo
DIVISION ADECUACION Y MEJORA HIDROELECTRICA GENERACION LOS LLANOS,Division Adecuacion Y Mejora Hidroelectrica Generacion Los Llanos
DIVISION CONTROL DE OPERACIONES,Division Control De Operaciones
DIVISION DE DESARROLLO SOCIAL,Division De Desarrollo Social
DIVISION REGIONAL,Division Regional
DIVISIÓN ESTADAL DE ATIT,División Estadal De Atit
DPTO ATC AVERIAS CS TB SAN CRISTOBAL,Dpto Atc Averias Cs Tb San Cristobal
DPTO MTTO CS TB SAN CRISTOBAL,Dpto Mtto Cs Tb San Cristobal
DTT0. MERIDA,Dtt0. Merida
DTTO LIBERTAD,Dtto Libertad
DTTO. TUCUPITA,Dtto. Tucupita
DUACA,Duaca
EDF. ZONA TACHIRA,Edf. Zona Tachira
EDIF CHINCHON,Edif Chinchon
EDIF DAMASCO,Edif Damasco
EDIF GUANIRE,Edif Guanire
EDIF MEZZANOTTE,Edif Mezzanotte
EDIF SEDE ALTAVISTA,Edif Sede Altavista
EDIF SIMON RODRIGUEZ,Edif Simon Rodriguez
EDIF. SIMON RODRIGUEZ,Edif. Simon Rodriguez
EDIFICIO DE SEDE CORPORATIVA,Edificio De Sede Corporativa
EDIFICIO GUANIRE,Edificio Guanire
EDIFICIO SEDE,Edificio Sede
EDIFICIO SEDE ALTA VISTA,Edificio Sede Alta Vista
EDIFICIO SEDE CORPORACION BARINAS,Edificio Sede Corporacion Barinas
EDIFICIO SEDE DE CORPORACION,Edificio Sede De La Corporacion
EDIFICIO SEDE SANTA TERESA (MIRANDA),Edificio Sede Santa Teresa (Miranda)
EDIFICIO SEDE Y TORRE CORPORATIVA,Edificio Sede Y Torre Corporativa
EJE COSTERO,Eje Costero
EJE COSTERO (SE ENCUENTRA EN LA GOBERNACION),Eje Costero (Se Encuentra En La Gobernacion)
EJE COSTERO - FUNSASEN,Eje Costero - Funsasen
EJID0 CALLE INDUSTRIAS,Ejid0 Calle Industrias
EL CALLAO,El Callao
EL CONVENTO,El Convento
EL MARQUES,El Marques
EL MARQUÉS,El Marqués
EL PALMAR,El Palmar
EL PINAR,El Pinar
EL PIÑAL,El Piñal
EL ROSAL,El Rosal
EL SOCORRO,El Socorro
EL SOMBRERO,El Sombrero
EL TIGRE,El Tigre
ELECTRA REPRESENTACIONES,Electra Representaciones
ELORZA,Elorza
EMPLAZAMIENTO ARISMENDI,Emplazamiento Arismendi
EN TALLER MECÁNICO MACAGUA,En Taller Mecánico Macagua
ESPINO,Espino
EST. EDIFICIO GUANIRE,Est. Edificio Guanire
EST. EL ESFUERZO- CANTAURA,Est. El Esfuerzo- Cantaura
EST.RR.HUMANOS YARITAGUA,Est.Rr.Humanos Yaritagua
ESTAC. ALCALDIA MIRIMIRE,Estac. Alcaldia Mirimire
ESTAC. TRANS. MAICILLAL,Estac. Trans. Maicillal
ESTAC. TRANSITO DABAJURO,Estac. Transito Dabajuro
ESTACION SEDE GUANIRE,Estacion Sede Guanire
ESTACIONAMIENTO ALMACEN YARITAGUA,Estacionamiento Almacen Yaritagua
ESTACIONAMIENTO CAMPENON MACAGUA,Estacionamiento Campenon Macagua
ESTACIONAMIENTO DE BOMBEROS GURI,Estacionamiento De Bomberos Guri
ESTACIONAMIENTO JUDICIAL LA REO I SAN FELIX,Estacionamiento Judicial La Reo I San Felix
ESTACIONAMIENTO JUDICIAL LA REO II UPATA,Estacionamiento Judicial La Reo Ii Upata
ESTACIONAMIENTO OFICINA AROA,Estacionamiento Oficina Aroa
ESTACIONAMIENTO OFICINA CHIVACOA,Estacionamiento Oficina Chivacoa
ESTACIONAMIENTO PLANTA TURBO GAS,Estacionamiento Planta Turbo Gas
ESTACIONAMIENTO SIMON RODRIGUEZ,Estacionamiento Simon Rodriguez
ESTACIONAMIENTO TALLER MACAGUA,Estacionamiento Taller Macagua
Edif Martins Mulder,Edif Martins Mulder
Edificio Carora,Edificio Carora
Edificio Sede,Edificio Sede
Edificio guanire,Edificio Guanire
El ROSAL,El Rosal
El rosal,El Rosal
Electro Construcciones y Representaciones  C.A Mariara Valencia,Electro Construcciones Y Representaciones  C.A Mariara Valencia
Electro Construcciones y Representaciones C.A,Electro Construcciones Y Representaciones C.A
Electro Construcciones y Representaciones C.A Mariara Valencia,Electro Construcciones Y Representaciones C.A Mariara Valencia
FALCON,Falcon
FLOTA APURE,Flota Apure
FONDO ADMINISTRADO FASMEE,Fondo Administrado Fasmee
FONDO AUTO ADMINISTRADO DE SALUD FASMEE,Fondo Auto Administrado De Salud Fasmee
FONDO AUTO ADMINISTRADO DE SALUD FASMEE “PLANTA PAEZ “,Fondo Auto Administrado De Salud Fasmee “Planta Paez “
FONDO AUTO ADMINISTRATIVO DE SALUD FASMEE,Fondo Auto Administrativo De Salud Fasmee
FUERTE TIUNA,Fuerte Tiuna
G.P. CUMANA,G.P. Cumana
G.R.H. CUMANA,G.R.H. Cumana
GALPON DE DISTRITO CORPORACION TUCUPITA DELTA AMACURO,Galpon De Distrito Tucupita Delta Amacuro
GALPON TUCUPITA,Galpon Tucupita
GENERACION,Generacion
GENERACION ESTADAL TERMOELECTRICA PLATA SANTA INES,Generacion Estadal Termoelectrica Plata Santa Ines
GERENCIA AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA,Gerencia Automatizacion De La Informacion Y Tecnologia
GERENCIA BIENES Y SERVICIOS,Gerencia Bienes Y Servicios
GERENCIA BRIGADA DE CONTROL DE INCENDIOS,Gerencia Brigada De Control De Incendios
GERENCIA CENTRO ESTADAL DE DESPACHO,Gerencia Centro Estadal De Despacho
GERENCIA COMERCIALIZACION,Gerencia Comercializacion
"GERENCIA DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL","Gerencia De Ambiente, Seguridad E Higiene Ocupacional"
GERENCIA DE BRIGADA DE CONTROL DE INCENDIOS,Gerencia De Brigada De Control De Incendios
GERENCIA DE DISRTRIBUCION,Gerencia De Disrtribucion
GERENCIA DE DISTRIBUCION,Gerencia De Distribucion
GERENCIA DE FISCALIZACION ESTADAL MPPEE,Gerencia De Fiscalizacion Estadal Mppee
GERENCIA DE FUENTES AlTERNAS Y USO RACIONAL Y EFICIENTE DE LA ENERGIA,Gerencia De Fuentes Alternas Y Uso Racional Y Eficiente De La Energia
GERENCIA DE PLANIFICACION DE DISTRUBICION DE REDES,Gerencia De Planificacion De Distrubicion De Redes
GERENCIA DEL CENTRO DE SERVICIOS SOCOPO,Gerencia Del Centro De Servicios Socopo
GERENCIA DISTRIBUCION,Gerencia Distribucion
"GERENCIA ESTADAL AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL (ASHO)","Gerencia Estadal Ambiente, Seguridad E Higiene Ocupacional (Asho)"
GERENCIA ESTADAL BIENES Y SERVICIOS,Gerencia Estadal Bienes Y Servicios
"GERENCIA ESTADAL DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL","Gerencia Estadal De Ambiente, Seguridad E Higiene Ocupacional"
GERENCIA ESTADAL DE ATENCION AL CIUDADANO,Gerencia Estadal De Atencion Al Ciudadano
GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA,Gerencia Estadal De Automatizacion De La Informacion Y Tecnologia
GERENCIA ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA (ATIT),Gerencia Estadal De Automatizacion De La Informacion Y Tecnologia (Atit)
GERENCIA ESTADAL DE BIENES Y SERVICIOS,Gerencia Estadal De Bienes Y Servicios
GERENCIA ESTADAL DE BIENES Y SERVICIOS PORTUGUESA,Gerencia Estadal De Bienes Y Servicios Portuguesa
GERENCIA ESTADAL DE BIENES Y SERVICIOS SEDE CUMANA,Gerencia Estadal De Bienes Y Servicios Sede Cumana
GERENCIA ESTADAL DE COMERCIALIZACION,Gerencia Estadal De Comercializacion
GERENCIA ESTADAL DE COMERCIALIZACION CARIACO-CASANAY,Gerencia Estadal De Comercializacion Cariaco-Casanay
GERENCIA ESTADAL DE COMERCIALIZACION CARUPANO,Gerencia Estadal De Comercializacion Carupano
GERENCIA ESTADAL DE COMERCIALIZACION COMERCIAL,Gerencia Estadal De Comercializacion Comercial
GERENCIA ESTADAL DE COMERCIALIZACION CUMANACOA,Gerencia Estadal De Comercializacion Cumanacoa
GERENCIA ESTADAL DE COMERCIALIZACION SEDE CUMANA,Gerencia Estadal De Comercializacion Sede Cumana
GERENCIA ESTADAL DE COMERCIALIZACION SESE CUMANA,Gerencia Estadal De Comercializacion Sese Cumana
GERENCIA ESTADAL DE COMERCIALIZACIÓN,Gerencia Estadal De Comercialización
GERENCIA ESTADAL DE COMUNICACION Y RELACIONES PUBLICAS SEDE CUMANA,Gerencia Estadal De Comunicacion Y Relaciones Publicas Sede Cumana
GERENCIA ESTADAL DE CONTROL DE EMERGENCIA INDUSTIAL CARIACO-CASANAY,Gerencia Estadal De Control De Emergencia Industial Cariaco-Casanay
GERENCIA ESTADAL DE CONTROL DE EMERGENCIA INDUSTIAL CUMANA,Gerencia Estadal De Control De Emergencia Industial Cumana
GERENCIA ESTADAL DE CONTROL DE EMERGENCIA INDUSTIAL SEDE CUMANA,Gerencia Estadal De Control De Emergencia Industial Sede Cumana
