alias,canonico
CENTRAL HIDROELECTRICA SAN AGATON,CENTRAL HIDROELECTRICA SAN AGATON
CENTRO DE COMIDAS EMPACADAS,CENTRO DE COMIDAS EMPACADAS
CENTRO DE CONTROL DE OPERACIONES,CENTRO DE CONTROL DE OPERACIONES
CENTRO DE CONTROL DE OPERACIONES DE DISTRIBUCION,CENTRO DE CONTROL DE OPERACIONES DE DISTRIBUCION
CENTRO DE GENERACION (PLANTA MONAY),CENTRO DE GENERACION (PLANTA MONAY)
CENTRO DE SERVICIO,CENTRO DE SERVICIO
CENTRO DE SERVICIO BEJUMA,CENTRO DE SERVICIO BEJUMA
CENTRO DE SERVICIO CARLOS ARVELO,CENTRO DE SERVICIO CARLOS ARVELO
CENTRO DE SERVICIO EJE COSTERO,CENTRO DE SERVICIO EJE COSTERO
CENTRO DE SERVICIO EL TOCUYO,CENTRO DE SERVICIO EL TOCUYO
CENTRO DE SERVICIO GUACARA,CENTRO DE SERVICIO GUACARA
CENTRO DE SERVICIO LA PEDRERA,CENTRO DE SERVICIO LA PEDRERA
CENTRO DE SERVICIO LIBERTADOR,CENTRO DE SERVICIO LIBERTADOR
CENTRO DE SERVICIO MICHELENA,CENTRO DE SERVICIO MICHELENA
CENTRO DE SERVICIO SAN ANTONIO,CENTRO DE SERVICIO SAN ANTONIO
CENTRO DE SERVICIO SAN DIEGO - LOS GUAYOS,CENTRO DE SERVICIO SAN DIEGO - LOS GUAYOS
CENTRO DE SERVICIO TIPO B TRUJILLO,CENTRO DE SERVICIO TIPO B TRUJILLO
CENTRO DE SERVICIO TIPO B TRUJILLO (CIAU CARACHE),CENTRO DE SERVICIO TIPO B TRUJILLO (CIAU CARACHE)
CENTRO DE SERVICIO TIPO B TRUJILLO (CIAU PAMPAN),CENTRO DE SERVICIO TIPO B TRUJILLO (CIAU PAMPAN)
CENTRO DE SERVICIO TIPO B TRUJILLO (CIAU TRUJILLO),CENTRO DE SERVICIO TIPO B TRUJILLO (CIAU TRUJILLO)
CENTRO DE SERVICIO TIPO B TRUJILLO (DISTRITO TRUJILLO),CENTRO DE SERVICIO TIPO B TRUJILLO (DISTRITO TRUJILLO)
CENTRO DE SERVICIO TIPO B TRUJILLO (SABANA DE MENDOZA),CENTRO DE SERVICIO TIPO B TRUJILLO (SABANA DE MENDOZA)
CENTRO DE SERVICIO TIPO B VALERA,CENTRO DE SERVICIO TIPO B VALERA
CENTRO DE SERVICIO TIPO B VALERA ( CIAU CARVAJAL),CENTRO DE SERVICIO TIPO B VALERA ( CIAU CARVAJAL)
CENTRO DE SERVICIO TIPO B VALERA (CIAU ESCUQUE),CENTRO DE SERVICIO TIPO B VALERA (CIAU ESCUQUE)
CENTRO DE SERVICIO TIPO B VALERA (CIAU TIMOTES),CENTRO DE SERVICIO TIPO B VALERA (CIAU TIMOTES)
CENTRO DE SERVICIO TIPO B VALERA (CIAU VALERA I),CENTRO DE SERVICIO TIPO B VALERA (CIAU VALERA I)
CENTRO DE SERVICIO TIPO B VALERA (CIAU VALERA II),CENTRO DE SERVICIO TIPO B VALERA (CIAU VALERA II)
CENTRO DE SERVICIO TIPO B VALERA (DISTRITO VALERA),CENTRO DE SERVICIO TIPO B VALERA (DISTRITO VALERA)
CENTRO DE SERVICIO TIPO B VALERA (GESTION DE ENERGIA),CENTRO DE SERVICIO TIPO B VALERA (GESTION DE ENERGIA)
CENTRO DE SERVICIO TIPO B VALERA (OPERATIVA COMERCIAL),CENTRO DE SERVICIO TIPO B VALERA (OPERATIVA COMERCIAL)
CENTRO DE SERVICIO TIPO B VALERA (OPERATIVA COMERCIAL) POR AHORA PERNOTA EN EL CED,CENTRO DE SERVICIO TIPO B VALERA (OPERATIVA COMERCIAL) POR AHORA PERNOTA EN EL CED
CENTRO DE SERVICIO TIPO B VALERA (TIMOTES),CENTRO DE SERVICIO TIPO B VALERA (TIMOTES)
CENTRO DE SERVICIO TIPO C CAJA SECA,CENTRO DE SERVICIO TIPO C CAJA SECA
CENTRO DE SERVICIO TIPO C SABANA DE MENDOZA (CIAU BETIJOQUE),CENTRO DE SERVICIO TIPO C SABANA DE MENDOZA (CIAU BETIJOQUE)
CENTRO DE SERVICIO TIPO C SABANA DE MENDOZA (CIAU SABANA DE MENDOZA),CENTRO DE SERVICIO TIPO C SABANA DE MENDOZA (CIAU SABANA DE MENDOZA)
CENTRO DE SERVICIO TIPO C SABANA DE MENDOZA (DISTRITO SABANA DE MENDOZA),CENTRO DE SERVICIO TIPO C SABANA DE MENDOZA (DISTRITO SABANA DE MENDOZA)
CENTRO DE SERVICIO VALENCIA NORTE,CENTRO DE SERVICIO VALENCIA NORTE
CENTRO DE SERVICIO VALENCIA SUR,CENTRO DE SERVICIO VALENCIA SUR
CENTRO DE SERVICO BARQUISIMETO,CENTRO DE SERVICO BARQUISIMETO
CENTRO DE SERVICO TIPO C BOCONO,CENTRO DE SERVICO TIPO C BOCONO
CENTRO ESTADAL DE DESPACHO,CENTRO ESTADAL DE DESPACHO
CENTRO ESTADAL DE DESPACHO PORTUGUESA,CENTRO ESTADAL DE DESPACHO PORTUGUESA
CENTRO ESTADAL DE DESTAPACHO,CENTRO ESTADAL DE DESTAPACHO
CENTRO NACIONAL DE DESPACHO,CENTRO NACIONAL DE DESPACHO
CENTRO NACIONAL DE DESPACHO (CND),CENTRO NACIONAL DE DESPACHO (CND)
CENTRO NACIONAL DEL DESPACHO,CENTRO NACIONAL DEL DESPACHO
CENTRO SERVICIO BARQUISIMETO,CENTRO SERVICIO BARQUISIMETO
CENTRO SERVICIO CARORA,CENTRO SERVICIO CARORA
CENTRO SERVICIO GIRARDOT,CENTRO SERVICIO GIRARDOT
CENTRO SERVICIO LIBERTADOR,CENTRO SERVICIO LIBERTADOR
CENTRO SERVICIO MATURIN,CENTRO SERVICIO MATURIN
CENTRO SERVICIO PUNTA DE MATA,CENTRO SERVICIO PUNTA DE MATA
CENTRO SERVICIOS CARORA,CENTRO SERVICIOS CARORA
CENTRO SERVICIOS DUACA,CENTRO SERVICIOS DUACA
CENTRO SERVICIOS PALAVECINO,CENTRO SERVICIOS PALAVECINO
CIAO CARTANAL,CIAO CARTANAL
CIAU,CIAU
CIAU ARAYA,CIAU ARAYA
CIAU BARBECHO,CIAU BARBECHO
CIAU BEJUMA,CIAU BEJUMA
CIAU CASANAY,CIAU CASANAY
CIAU CENTRAL TACARIGUA,CIAU CENTRAL TACARIGUA
CIAU CHARALLAVE,CIAU CHARALLAVE
CIAU CIUDAD BOLIVIA,CIAU CIUDAD BOLIVIA
CIAU CUMANACOA,CIAU CUMANACOA
CIAU CUPIRA,CIAU CUPIRA
CIAU EJE COSTERO,CIAU EJE COSTERO
CIAU EL PILAR,CIAU EL PILAR
CIAU GUACARA,CIAU GUACARA
CIAU GUIRIA,CIAU GUIRIA
CIAU HIGUEROTE,CIAU HIGUEROTE
CIAU IRAPA,CIAU IRAPA
CIAU LIBERTADOR,CIAU LIBERTADOR
CIAU MARIGUITAR,CIAU MARIGUITAR
CIAU RIO CARIBE,CIAU RIO CARIBE
CIAU RIO CHICO,CIAU RIO CHICO
CIAU SAN CARLOS,CIAU SAN CARLOS
CIAU SAN DIEGO - LOS GUAYOS,CIAU SAN DIEGO - LOS GUAYOS
CIAU SANTA FE,CIAU SANTA FE
CIAU SANTA TERESA,CIAU SANTA TERESA
CIAU TINACO,CIAU TINACO
CIAU TINAQUILLO,CIAU TINAQUILLO
CIAU TORRE 4,CIAU TORRE 4
CIAU TOVAR,CIAU TOVAR
CIAU TUCUPITA,CIAU TUCUPITA
CIAU VALENCIA NORTE,CIAU VALENCIA NORTE
CIAU. YAGUARAPARO,CIAU. YAGUARAPARO
CND,CND
COBRANZA,COBRANZA
COBROS,COBROS
COMEDOR FUNSASEN GURI,COMEDOR FUNSASEN GURI
COMERCIAIZACION,COMERCIAIZACION
COMERCIAL,COMERCIAL
COMERCIAL  BOCONO,COMERCIAL  BOCONO
COMERCIAL (CAJA SECA),COMERCIAL (CAJA SECA)
COMERCIAL TORRE 4,COMERCIAL TORRE 4
COMERCIAL/ GESTION DE ENERGIA,COMERCIAL/ GESTION DE ENERGIA
COMERCIALIZACION,COMERCIALIZACION
COMERCIALIZACIÓN,COMERCIALIZACIÓN
COMUNICACIONES Y  RR.PP,COMUNICACIONES Y  RR.PP
COMUNICACIONES Y RELACIONES PUBLICAS,COMUNICACIONES Y RELACIONES PUBLICAS
COMUNICACIONES Y RELACIONES PUBLICAS ARAGUA,COMUNICACIONES Y RELACIONES PUBLICAS ARAGUA
COMUNICACIONES Y RELACIONES PUBLICAS TRUJILLO,COMUNICACIONES Y RELACIONES PUBLICAS TRUJILLO
COMUNICACIONES Y RELACIONES PÚBLICAS,COMUNICACIONES Y RELACIONES PÚBLICAS
CONMOVIL,CONMOVIL
CONRALORIA,CONRALORIA
CONSULTORIA JURIDICA,CONSULTORIA JURIDICA
CONSULTORIA JURÍDICA,CONSULTORIA JURÍDICA
CONSULTORÍA JURÍDICA CAPITAL,CONSULTORÍA JURÍDICA CAPITAL
CONSUTORIA JURIDICA,CONSUTORIA JURIDICA
CONTROL DE EMERGENCIA,CONTROL DE EMERGENCIA
CONTROL DE EMERGENCIAS INDUSTRIALES,CONTROL DE EMERGENCIAS INDUSTRIALES
CONTROL DE GASOLINA,CONTROL DE GASOLINA
CONTROL DE OPERACIONES,CONTROL DE OPERACIONES
CONTROL DE VEGETACION,CONTROL DE VEGETACION
COORD. DE ATENCION AL USUARIO COORP.,COORD. DE ATENCION AL USUARIO COORP.
COORD. DE TRANSMISION,COORD. DE TRANSMISION
COORD. DISTRIB. SUCRE,COORD. DISTRIB. SUCRE
CUERPO DE INSPECTORES,CUERPO DE INSPECTORES
CUERPO DE INSPECTORES /CONSEJO DE ASESORES,CUERPO DE INSPECTORES /CONSEJO DE ASESORES
CUERPOS DE BOMBEROS,CUERPOS DE BOMBEROS
CZGNB-62,CZGNB-62
Calidad de préstamo 1x10,Calidad de préstamo 1x10
Centro Estadal de Despacho Lara,Centro Estadal de Despacho Lara
Centro de Servicio Sabana de Mendoza,Centro de Servicio Sabana de Mendoza
Centro de Servicio churuguara,Centro de Servicio churuguara
Comercial,Comercial
Comercializacion,Comercializacion
Comunicaciones y relaciones públicas,Comunicaciones y relaciones públicas
Cs barquisimeto,Cs barquisimeto
Cs barquismeto,Cs barquismeto
Cs carora,Cs carora
D. CUMANA,D. CUMANA
D.C.O CUMANA,D.C.O CUMANA
D.D. CUMANA,D.D. CUMANA
D.M CUMANA,D.M CUMANA
D.M.E. CUMANA,D.M.E. CUMANA
D.T. CUMANA,D.T. CUMANA
"DEPARATAMENTO DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL REGION LOS ANDES","DEPARATAMENTO DE AMBIENTE, SEGURIDAD E HIGIENE OCUPACIONAL REGION LOS ANDES"
DEPARTAMENTO DE MANTENIMIENTO,DEPARTAMENTO DE MANTENIMIENTO
DEPARTAMENTO DE MTTO DE LINEAS TRUJILLO,DEPARTAMENTO DE MTTO DE LINEAS TRUJILLO
DEPARTAMENTO DE SERVICIOS ESPECIALES  DE EQUIPOS DE  TRANSFORMACIÓN,DEPARTAMENTO DE SERVICIOS ESPECIALES  DE EQUIPOS DE  TRANSFORMACIÓN
DEPARTAMENTO ESTADAL DE RECUPERACION DE TRANSFORMADORES,DEPARTAMENTO ESTADAL DE RECUPERACION DE TRANSFORMADORES
DEPARTAMENTO MANTENIMIENTO Y ATENCION DE AVERIAS CALABOZO,DEPARTAMENTO MANTENIMIENTO Y ATENCION DE AVERIAS CALABOZO
DESARR0LL0 S0CIAL,DESARR0LL0 S0CIAL
DESARROLLO,DESARROLLO
DESARROLLO PROYECTO,DESARROLLO PROYECTO
DESARROLLO SOCIAL,DESARROLLO SOCIAL
DESARROLLO SOCIAL DELTA AMACURO,DESARROLLO SOCIAL DELTA AMACURO
DESARROLLO Y OBRAS,DESARROLLO Y OBRAS
DESARROLLO YARACUY,DESARROLLO YARACUY
DESPACHO,DESPACHO
DESPACHO COL,DESPACHO COL
DESPACHO DE CARGA,DESPACHO DE CARGA
DESPACHO DE PRESIDENCIA,DESPACHO DE PRESIDENCIA
DESPACHO DEL MPPEE,DESPACHO DEL MPPEE
DESPACHO REGIONAL 8,DESPACHO REGIONAL 8
DESPACHO REGIONAL OCCIDENTE,DESPACHO REGIONAL OCCIDENTE
DIR. COMERCIAL,DIR. COMERCIAL
DIRECTOR GENERAL DE CONSULTORIA JURIDICA DEL MPPEE,DIRECTOR GENERAL DE CONSULTORIA JURIDICA DEL MPPEE
DISTRIB. MATTO.,DISTRIB. MATTO.
DISTRIBUCI0N,DISTRIBUCI0N
DISTRIBUCI0N Y C0MERCIALIZACI0N,DISTRIBUCI0N Y C0MERCIALIZACI0N
DISTRIBUCI0N Y C0MERCIALIZACION,DISTRIBUCI0N Y C0MERCIALIZACION
DISTRIBUCION,DISTRIBUCION
DISTRIBUCION CUMANA,DISTRIBUCION CUMANA
DISTRIBUCIÓN,DISTRIBUCIÓN
DISTRITO  DABAJURO,DISTRITO  DABAJURO
DISTRITO  PUNTO FIJO,DISTRITO  PUNTO FIJO
DISTRITO CHURUGUARA,DISTRITO CHURUGUARA
DISTRITO CORO,DISTRITO CORO
DISTRITO DABAJURO,DISTRITO DABAJURO
DISTRITO PUNTO FIJO,DISTRITO PUNTO FIJO
DISTRITO TUCACAS,DISTRITO TUCACAS
DIV. DE ALMACEN REG LOS ANDES,DIV. DE ALMACEN REG LOS ANDES
"DIV. DE MTTO DE PROTECCIONES, MEDICIONES, SUPERVISION Y CONTROL","DIV. DE MTTO DE PROTECCIONES, MEDICIONES, SUPERVISION Y CONTROL"
DIV. DE OPERACIONES Y MANTTO. DE LINEAS GUARICO / BAJO APURE,DIV. DE OPERACIONES Y MANTTO. DE LINEAS GUARICO / BAJO APURE
"DIV. DE PROTECCION, MEDICION REGION Y CONTROL ATTE DE LA REGION LOS LLANOS","DIV. DE PROTECCION, MEDICION REGION Y CONTROL ATTE DE LA REGION LOS LLANOS"
DIV. DESARROLLO,DIV. DESARROLLO
DIV. INGENIERIA DE MANTENIMIENTO DE PROTECCIONES Y CONTROL,DIV. INGENIERIA DE MANTENIMIENTO DE PROTECCIONES Y CONTROL
DIV. PREVENCION Y PROTECCION,DIV. PREVENCION Y PROTECCION
DIVISI0N DE MANTENIMIENT0 ESPECIALIZAD0,DIVISI0N DE MANTENIMIENT0 ESPECIALIZAD0
DIVISION ADECUACION Y MEJORA HIDROELECTRICA GENERACION LOS LLANOS,DIVISION ADECUACION Y MEJORA HIDROELECTRICA GENERACION LOS LLANOS
DIVISION CENTRO DE SERV. SAN CRISTOBAL,DIVISION CENTRO DE SERV. SAN CRISTOBAL
DIVISION CONTROL DE OPERACIONES,DIVISION CONTROL DE OPERACIONES
DIVISION DE ADECUACIÓN Y MEJORAS,DIVISION DE ADECUACIÓN Y MEJORAS
DIVISION DE ADMINISTRACION DE FLOTA REGION LOS LLANOS,DIVISION DE ADMINISTRACION DE FLOTA REGION LOS LLANOS
DIVISION DE ADMINISTRACION DE VEHICULOS,DIVISION DE ADMINISTRACION DE VEHICULOS
DIVISION DE BIENES Y SERVICIOS,DIVISION DE BIENES Y SERVICIOS
DIVISION DE DESARROLLO,DIVISION DE DESARROLLO
DIVISION DE DESARROLLO SOCIAL,DIVISION DE DESARROLLO SOCIAL
DIVISION DE FUENTES ALTERNATIVAS,DIVISION DE FUENTES ALTERNATIVAS
DIVISION DE GESTION COMERCIAL VALERA II,DIVISION DE GESTION COMERCIAL VALERA II
DIVISION DE INGENIERIA DE MANTENIMIENTO DE TRANSMISION,DIVISION DE INGENIERIA DE MANTENIMIENTO DE TRANSMISION
DIVISION DE MANTENIMIENTO ESPECIALIZADO,DIVISION DE MANTENIMIENTO ESPECIALIZADO
DIVISION DE OBRAS,DIVISION DE OBRAS
DIVISION DE OPERACION Y MANTENIMIENTO DE SUBESTACIONES Y LINEAS TRUJILLO,DIVISION DE OPERACION Y MANTENIMIENTO DE SUBESTACIONES Y LINEAS TRUJILLO
DIVISION DE PROTECCION Y MEDICION,DIVISION DE PROTECCION Y MEDICION
DIVISION DE SEGURIDAD DE PRESAS Y EMBALSES REGION ANDES,DIVISION DE SEGURIDAD DE PRESAS Y EMBALSES REGION ANDES
DIVISION DE TALENTO HUMANO,DIVISION DE TALENTO HUMANO
DIVISION ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA,DIVISION ESTADAL DE AUTOMATIZACION DE LA INFORMACION Y TECNOLOGIA
DIVISION ESTADAL DE GESTION,DIVISION ESTADAL DE GESTION
DIVISION ESTADAL DE PLANIFICACION TRUJILLO,DIVISION ESTADAL DE PLANIFICACION TRUJILLO
DIVISION ESTADAL DE PREVENCION,DIVISION ESTADAL DE PREVENCION
DIVISION ESTADAL DE PREVENCION Y PROTECCION,DIVISION ESTADAL DE PREVENCION Y PROTECCION
DIVISION ESTADAL MANTENIMIENTO ESPECIALIZADO,DIVISION ESTADAL MANTENIMIENTO ESPECIALIZADO
DIVISION ESTADAL OPER. MANT. DE,DIVISION ESTADAL OPER. MANT. DE
"DIVISION ESTADAL OPER. MANT. DE
  SUBESTACIONES Y LINEAS TACHIRA ALTO APURE","DIVISION ESTADAL OPER. MANT. DE
  SUBESTACIONES Y LINEAS TACHIRA ALTO APURE"
DIVISION ESTADAL PREVENCION Y PROTECCION,DIVISION ESTADAL PREVENCION Y PROTECCION
DIVISION REG  DE INFRAESTRUCTURA,DIVISION REG  DE INFRAESTRUCTURA
DIVISION REGIONAL DE BIENES Y SERVICIOS LOS ANDES,DIVISION REGIONAL DE BIENES Y SERVICIOS LOS ANDES
DIVISION SEG Y MONITOREO,DIVISION SEG Y MONITOREO
