alias,canonico
CARGO 1517 DOBLE CESTA,CARGO 1517 DOBLE CESTA
CARGO 1517E,CARGO 1517E
CARGO 1721,Cargo 1721
CARGO 1722,CARGO 1722
CARGO 2632,Cargo 2632
CARGO 815,Cargo 815
CARGO-1517,CARGO-1517
CARGO-1517E,CARGO-1517E
CARGO-1722E,CARGO-1722E
CARGO815,CARGO815
CARIBE,CARIBE
CARIBE 442,CARIBE 442
CARRYING,CARRYING
CARRYNG,CARRYNG
CARTER,CARTER
CASE 485,CASE 485
CAVA,CAVA
CAVA CON TERMOKING,CAVA CON TERMOKING
CAVALIER,CAVALIER
CC70C16,CC70C16
CELEBRITI,CELEBRITI
CESTA,Cesta
CESTA HIDRAUL.,CESTA HIDRAUL.
CF 500 4x2,CF 500 4x2
CF-500,CF-500
CF-500 4x2,CF-500 4x2
CF-500 UNICESTA,CF-500 UNICESTA
CF500,CF500
CF500 4X2,CF500 4X2
CH613HD,CH613HD
CHASIS,CHASIS
CHASIS CORTO,Land Cruiser
CHASIS LARGO,Land Cruiser
CHASIS LARGO TECHO DURO,CHASIS LARGO TECHO DURO
CHASSIS,CHASSIS
CHASSIS -CAMION UNICESTA-NPR,CHASSIS -CAMION UNICESTA-NPR
CHAYENNE,CHAYENNE
CHEROKEE,CHEROKEE
CHEROKEE CHIEF,CHEROKEE CHIEF
CHEV 30,CHEV 30
CHEV-30,CHEV-30
CHEV-3500,CHEV-3500
CHEVETTE,Chevette
CHEVROLET NPR,NPR
CHEYENNE,Cheyenne
CHEYENNE 1500,CHEYENNE 1500
CHEYENNE 4X2,CHEYENNE 4X2
CHEYENNE 4X4,CHEYENNE 4X4
CHEYENNE C-1500,CHEYENNE C-1500
CHEYENNE C3500,CHEYENNE C3500
CHIMANA 9.22M,CHIMANA 9.22M
CHUTO,CHUTO
CISTERNA,CISTERNA
CISTERNA PARA LAVADO,CISTERNA PARA LAVADO
CJ WRANGLER,CJ WRANGLER
CJ WRANGLER T. DURO,CJ WRANGLER T. DURO
CJ-5,CJ-5
CJ-5 4X4,CJ-5 4X4
CJ-7,CJ-7
CMO50SD,CMO50SD
COASTER,Coaster
COASTER MINI BUS,COASTER MINI BUS
COLORADO,COLORADO
COLORADO 3.7L 4,COLORADO 3.7L 4
COLORADO DOBLE CABINA,COLORADO DOBLE CABINA
COLORADO LT,COLORADO LT
COMIONETA VAN,COMIONETA VAN
CONAUER,CONAUER
CONQUISTADOR,CONQUISTADOR
COOL,Cool
COROLLA,Corolla
COROLLA  1.6,COROLLA  1.6
COROLLA 1.6,Corolla
COROLLA AUTOMATICO,COROLLA AUTOMATICO
COROLLA GLI,Corolla
COROLLA LE,Corolla
COROLLA XLI,Corolla
CORSA,Corsa
CORVETTE,Corvette
CPC025,CPC025
CPCD50,CPCD50
CPOY30,CPOY30
CPQYD25,CPQYD25
CRUSADER,CRUSADER
CRUZE,Cruze
CUADRILLERO,CUADRILLERO
CUSTOM PANEL,CUSTOM PANEL
CYDY STAR,CYDY STAR
Cargo 1721,Cargo 1721
D-300,D-300
D-MAX,LUV D-MAX
D21,D21
D21 4X2,D21 4X2
D21 4X4,D21 4X4
D45S-2,D45S-2
D50SC-5,D50SC-5
DAILY,DAILY
DAILY 40-12,DAILY 40-12
DAILY 70 C15,DAILY 70 C15
DAILY 70/15,DAILY 70/15
DAILY 70C15,DAILY 70C15
DAILY 70C15 CESTA,DAILY 70C15 CESTA
DAILY 70C15 GRUA,DAILY 70C15 GRUA
DAKOTA CR 4X4 D/C,DAKOTA CR 4X4 D/C
DAMAS,DAMAS
DAYLI 70C15,DAYLI 70C15
DAYLI-70C16,DAYLI-70C16
DAYLY 70C16,DAYLY 70C16
DC200V-1,DC200V-1
DFL1080B2,DFL1080B2
DFL5080GJK18,DFL5080GJK18
DLBLCT0240,DLBLCT0240
DM10A,DM10A
DOBLE CESTA,DOBLE CESTA
DONGFENG ZNA,ZNA Rich
DP 40K1,DP 40K1
DP-50K,DP-50K
DP135,DP135
DP35-D,DP35-D
DP40K1,DP40K1
DP50K,DP50K
DR-X 200,DR-X 200
DR200,DR200
DUCATO,DUCATO
DUCATO MAXICARGO,DUCATO MAXICARGO
DUOLIKA,Duolika
DUOLIKA7T,DUOLIKA7T
DYNA,Dyna
DYNA PLATAFORMA,DYNA PLATAFORMA
DYNA TURBO 343,DYNA TURBO 343
DYNA TURBO 387,DYNA TURBO 387
DYNA TURBO 387 (CBU),DYNA TURBO 387 (CBU)
DYNA TURBO 387 CBU,DYNA TURBO 387 CBU
DYNA UNICESTA,DYNA UNICESTA
Dayly 70C15,Dayly 70C15
E-350,E-350
E450AJ,E450AJ
E70-120XL3,E70-120XL3
EK EXPRESS 150,EK EXPRESS 150
ELANTRA,ELANTRA
ELF,ELF
EN,EN
ENT-610,ENT-610
ENT-900,ENT-900
ENT3300,ENT3300
EP1000,EP1000
EPICA,Epica
EQ. PERFORADOR,EQ. PERFORADOR
EQ1040,EQ1040
EQ1060,EQ1060
EQUIP. HIDRAUL.,EQUIP. HIDRAUL.
EQUIPO ESPECIAL,EQUIPO ESPECIAL
EQUIPO HIDRAULICO,EQUIPO HIDRAULICO
ESC. HIDRAUL.,ESC. HIDRAUL.
ESC. HIDRAULICA,ESC. HIDRAULICA
ESC. MECANICA,ESC. MECANICA
ESCALERA,ESCALERA
ESTACA,ESTACA
EUQUIPO HIDR.,EUQUIPO HIDR.
EURO CARGO,EURO CARGO
EURO CARGO 120E21,EURO CARGO 120E21
EURO GARGO,EURO GARGO
EURO TRUCKER 12OE21,EURO TRUCKER 12OE21
EURO-CARGO,EURO-CARGO
EURO-CARGO/ML120E2,EURO-CARGO/ML120E2
EUROCARGO,EUROCARGO
EUROCARGO ML,EUROCARGO ML
EUROCARGO ML 120 E21,EUROCARGO ML 120 E21
EUROCARGO ML120E21,EUROCARGO ML120E21
EUROCARGO TECTOR,EUROCARGO TECTOR
EUROTRAKKER,EUROTRAKKER
EVOLUTION,EVOLUTION
EXPLORED,EXPLORED
EXPLORER,Explorer
EXPRESS,EXPRESS
EXPRESS CARGO VAN 3500,EXPRESS CARGO VAN 3500
EXR,EXR
F -7000,F -7000
F 150 FORTALEZA,F-150
F 350 ESCALERA,F-350
F 350 PLATAFORMA,F-350
F 350 UNICESTA,F-350
F- 150,F-150
F- 350,F-350
F- 350 Super Dutty,F- 350 Super Dutty
F- 4000,F-4000
F- 7000,F-7000
F-1317,F-1317
F-150,F-150
F-150 FORTALEZA,F-150
F-1517,F-1517
F-250,F-250
F-350,F-350
F-350 3M8,F-350 3M8
F-350 CABINA,F-350 CABINA
F-350 DRW,F-350 DRW
F-350 ESCALERA,F-350
F-350 FERRETERO,F-350 FERRETERO
F-350 FURGON,F-350 FURGON
F-350 GAVETERO,F-350 GAVETERO
F-350 GRUA,F-350 GRUA
F-350 PLATAFORMA,F-350
F-350 UNICESTA,F-350
F-4000,F-4000
F-4000 UNICESTA,F-4000 UNICESTA
F-450,F-450
F-450 SUPER DUTY,F-450
F-450 SUPER DUTY ESCALERA,F-450 SUPER DUTY ESCALERA
F-450 SUPER DUTY UNICESTA,F-450 SUPER DUTY UNICESTA
F-550,F-550
F-600,F-600
F-700,F-700
F-7000,F-7000
F-7000 72D,F-7000 72D
F-7000 73D,F-7000 73D
F-750,F-750
F-750 DOBLE CESTA,F-750 DOBLE CESTA
F-750 GRUA,F-750 GRUA
F-750 PLATAFORMA,F-750 PLATAFORMA
F-8000,F-8000
F-8000 DOBLE CESTA,F-8000 DOBLE CESTA
F/7000,F/7000
F050T9,F050T9
F150,F-150
F150 FORTALEZA,F-150
F250,F-250
F350,F-350
F350 ESCALERA,F-350
F350 PLATAFORMA,F-350
F350 UNICESTA,F-350
F4000,F-4000
F450,F-450
F7000,F-7000
FABCO LAVADO,FABCO LAVADO
FD25T3Z,FD25T3Z
FD5019,FD5019
FD50T9,FD50T9
FD50TA,FD50TA
FDE35155,FDE35155
FG 30T,FG 30T
FG25NT,FG25NT
FG30T,FG30T
FIORINO,FIORINO
FOCUS,FOCUS
FONTIER,FONTIER
FORD RANGER,FORD RANGER
FORD-350,FORD-350
FORTALEZA,F-150
FORTUNER,Fortuner
FORWARD,FORWARD
FORWARD-FV,FORWARD-FV
FRONTIER,FRONTIER
FRONTIER 4X4,FRONTIER 4X4
FRONTIER D21 4X4,FRONTIER D21 4X4
FRONTIER D22,FRONTIER D22
FRONTIER DX DIESEL,FRONTIER DX DIESEL
FRONTIER TDI 4X4,FRONTIER TDI 4X4
FTR,FTR
FVR,FVR
FVR GRUA,FVR GRUA
FW280022,FW280022
FX4,FX4
G. BLAZER,G. BLAZER
GMK40801,GMK40801
GN125,GN125
GP30TE,GP30TE
GRAND VITARA,Grand Vitara
GRUA,GRUA
GRUA 200 TON,GRUA 200 TON
GRUA 50 TON,GRUA 50 TON
GRUA DE 100 TON,GRUA DE 100 TON
GRUA HIDRAULICA,GRUA HIDRAULICA
GRUA PITMAN,GRUA PITMAN
GRUA TELESCOPICA 30 TN,GRUA TELESCOPICA 30 TN
GTP30TK,GTP30TK
Golf,Golf
H100 PLATAFORMA,H100 PLATAFORMA
H150,H150
H150II,H150II
H2.5TX-2T,H2.5TX-2T
HAICE,HAICE
HDF 50-7S,HDF 50-7S
HEMBRITA,Land Cruiser
HEMBRITA ESCALERA,HEMBRITA ESCALERA
HEMBRITA. PICK UP BASICA,HEMBRITA. PICK UP BASICA
HFC 1061K,HFC 1061K
HFC1061K UNICESTA,HFC1061K UNICESTA
HI 250 CARGA,HI 250 CARGA
HIACE,Hiace
HILUX,Hilux
HILUX 4X4,Hilux
HILUX DOBLE CABINA,Hilux
HINO 300,300
HINO 300 (616),300 (616)
HINO 300 (816),300 (816)
HINO 616,300 (616)
HINO 816,300 (816)
HJ,HJ
HJ 125,HJ-125
HJ 150,HJ-150
HJ-125,HJ-125
HJ-150,HJ-150
HJ150-9,HJ150-9
HJ150-9A,HJ150-9A
HOMO,HOMO
HOWO 7,HOWO 7
HOWO7,HOWO7
HR15 NDE,HR15 NDE
II,II
ISUZU,ISUZU
ISUZU NPR,NPR
J1SOII,J1SOII
JIMNY,JIMNY
KA-150,KA-150
KAMAZ,KAMAZ
KL650EDFK/KLR,KL650EDFK/KLR
KODIA,KODIA
KODIAK,Kodiak
KODIAK GRUA,KODIAK GRUA
KODIAK PLATAFORMA,KODIAK PLATAFORMA
KR,KR
L-200,L-200
L-8000,L-8000
L200,L200
L200 4X4,L200 4X4
L200 ADVENTURE,L200 ADVENTURE
LAND CRUISER,Land Cruiser
LAND CRUSIER,Land Cruiser
LANOS SX,LANOS SX
LASER,LASER
LAVADO,LAVADO
LIMITED CJ-7,LIMITED CJ-7
LOW BOY,LOW BOY
LOW-BOY,LOW-BOY
LOWBOY,LOWBOY
LT4,LT4
LUDIMAX,LUDIMAX
LUMINA,Lumina
LUV,LUV
LUV 4X2,LUV 4X2
LUV 4X3,LUV 4X3
LUV 4X4,LUV 4X4
LUV D MAX,LUV D MAX
LUV D-MAX,LUV D-MAX
LUV D.MAX 4X4,LUV D.MAX 4X4
LUV DIMAX,LUV DIMAX
LUV DMAX,LUV DMAX
LUV DMAX 4X4,LUV DMAX 4X4
LUV-DMAX,LUV-DMAX
LX V6 4X4,LX V6 4X4
LX V6 LARGO 4X4,LX V6 LARGO 4X4
LX V6/ 4X4,LX V6/ 4X4
MACHO,Land Cruiser
MALIBU,Malibu
MD6833,MD6833
MERU,MERU
MICHELENA,MICHELENA
MINI TRUCK 2T,MINI TRUCK 2T
ML120E21,ML120E21
MODELO II MOTOR 150 CC,MODELO II MOTOR 150 CC
MONTA  CARGA,MONTA  CARGA
MONTA CARGA,MONTA CARGA
MONTA CARGA 4T,MONTA CARGA 4T
MONTA CARGA 50T,MONTA CARGA 50T
MONTACARGA,MONTACARGA
MONTACARGA 3 TONELADAS (FG30NT),MONTACARGA 3 TONELADAS (FG30NT)
MONTACARGA 3940 KILOS,MONTACARGA 3940 KILOS
MONTACARGA 42.7FG25 8FD70U,MONTACARGA 42.7FG25 8FD70U
MONTACARGAS,MONTACARGAS
MONTANA,Montana
MONTERO,MONTERO
MONTERO SPORT,MONTERO SPORT
MOT. GASOIL,MOT. GASOIL
MOTO,MOTO
MOTO 2 RUEDAS,MOTO 2 RUEDAS
MOTOBOMBA,MOTOBOMBA
MOTOS DOS RUEDAS,MOTOS DOS RUEDAS
MULTI USO,MULTI USO
MUNCK,MUNCK
N/A,N/A
NEVERI,NEVERI
NHR,NHR
NHR CAVA,NHR CAVA
NK 150,NK-150
NK-150,NK-150
NKR,NKR
NPR,NPR
NPR UNICESTA,NPR UNICESTA
NPR-CAB,NPR-CAB
NPR6SN,NPR6SN
OH142051A,OH142051A
ONIX,Onix
OPTRA,Optra
ORLANDO,Orlando
P-31,P-31
P310,P310
P33000,P33000
P6000 LP,P6000 LP
P6000-LP,P6000-LP
PALIO,PALIO
PANEL,PANEL
PANTHER 3000 HRET MIXMATIC MAN TGA 33.350,PANTHER 3000 HRET MIXMATIC MAN TGA 33.350
PARTNER,PARTNER
PAYSTAR 5000,PAYSTAR 5000
PICK UP,PICK UP
PICK UP 4X2,PICK UP 4X2
PICK UP 4X4,PICK UP 4X4
PICK UP BASICA,PICK UP BASICA
PICK UP CESTA,PICK UP CESTA
PICK UP DOBLE CABINA,PICK UP DOBLE CABINA
PICK UP V6 4X4,PICK UP V6 4X4
PICK UP V6 4X4 UNICESTA,PICK UP V6 4X4 UNICESTA
PICK – UP NISAN FRONTIER DOBLE CABINA,PICK – UP NISAN FRONTIER DOBLE CABINA
PICK- UP,PICK- UP
PICK-UP,PICK-UP
PICK-UP 4 X 2,PICK-UP 4 X 2
PICK-UP 4 X 4,PICK-UP 4 X 4
PICK-UP BASICA,PICK-UP BASICA
PICK-UP CABINA -CAMIONETA,PICK-UP CABINA -CAMIONETA
PICK-UP D/C 4X4,PICK-UP D/C 4X4
PICK-UP D/CABINA DIESEL,PICK-UP D/CABINA DIESEL
PICKUP,PICKUP
PICKUP- F250,PICKUP- F250
PITMAN,PITMAN
PJ,PJ
PLATA FORMA,PLATA FORMA
PLATAFORMA,PLATAFORMA
POLAR,POLAR
PRADO,Prado
PREGIO,PREGIO
PREMIO,PREMIO
PRIDE,Pride
PSI,PSI
QUICK,Quick
QUICK ST,QUICK ST
QUIK CVT,QUIK CVT
QUY55,QUY55
QY100KI,QY100KI
QY160KI,QY160KI
R600,R600
RAM,RAM
RANGER,Ranger
RANGER 4 CIL DOBLE CABINA,RANGER 4 CIL DOBLE CABINA
RANGER DOBLE CABINA,RANGER DOBLE CABINA
RENEGADO,RENEGADO
REWARD,REWARD
REWARD-NP,REWARD-NP
REWUARD-NP,REWUARD-NP
RICH,Rich
ROSEMBAUER 600300100 BOMBERO,ROSEMBAUER 600300100 BOMBERO
RT700E,RT700E
RT780,RT780
RT890E,RT890E
RUSTICO,Land Cruiser
RUSTICO CHASIS LARGO,RUSTICO CHASIS LARGO
RUSTICO- TECHO DURO-CHASIS CORTO,RUSTICO- TECHO DURO-CHASIS CORTO
Redaya 70C15,Redaya 70C15
S-10,S-10
S/I,S/I
S/N,S/N
SABA,Saba
SAIMA,SAIMA
SAINA,SAINA
SAINAS,SAINAS
SAIPA 132,132
SAIPA 141,141
SAIPA QUICK,Quick
SAIPA TIBA,Tiba
SAIPEN,SAIPEN
SAMURAI,SAMURAI
SBA 4900,SBA 4900
SEDAN,SEDAN
SENTRA,SENTRA
SETRA GXE T/A,SETRA GXE T/A
SIGNO GLI,SIGNO GLI
SILVERADO,Silverado
SILVERADO 4X2,SILVERADO 4X2
SILVERADO 4x4,SILVERADO 4x4
SPARK,Spark
SPORT WAGON,SPORT WAGON
SR CS MT 03 35,SR CS MT 03 35
STAR 2.5,STAR 2.5
STAR 2.5 GAVETERO,STAR 2.5 GAVETERO
STARLET,Starlet
STREET SPORT,STREET SPORT
SUBURBAN,Suburban
SUPER CARRY,SUPER CARRY
SUPER DUTY,Super Duty
SUPER DUTY 250,SUPER DUTY 250
SUPER DUTY F350,SUPER DUTY F350
SUPER DUTY VANS,SUPER DUTY VANS
SUTRA-300,300
SWIFT,SWIFT
T. DURO,T. DURO
T. DURO BASICO,T. DURO BASICO
T.D. BASICO,T.D. BASICO
T4000,T4000
T4H0S3,T4H0S3
TACOMA,Tacoma
TACOMA 4X4,TACOMA 4X4
TACOMA D/CABINA,TACOMA D/CABINA
TAHOE,Tahoe
TAN 30-PG,TAN 30-PG
TB547/42,TB547/42
TC2ER24,TC2ER24
TD-50-F,TD-50-F
TECHO DURO,Land Cruiser
TECHO DURO 4X4,Land Cruiser
TECTOR,TECTOR
TERIOS,Terios
TIBA,Tiba
TIPO CESTA,TIPO CESTA
TMAX,TMAX
TMS250C,TMS250C
TOPKICK C7500,TOPKICK C7500
TORRE ELEV.,TORRE ELEV.
TOURING,TOURING
TOWN,TOWN
TOYOTA-30,TOYOTA-30
TRACTOR,TRACTOR
TRACTOR D-4E,TRACTOR D-4E
TRACTOR D-8K,TRACTOR D-8K
TRAILBLAZER,Trailblazer
TRAKER 420,TRAKER 420
TRAKKER,TRAKKER
TRIMOTO,TRIMOTO
TRITON,TRITON
TRITON F-350,TRITON F-350
TURBO SYNCSHUTTLE,TURBO SYNCSHUTTLE
TXEN 200,TXEN 200
TY230,TY230
Titan,Titan
U-UVAN,U-UVAN
ULF HRET MIXMATIC MAN TGA 33.350,ULF HRET MIXMATIC MAN TGA 33.350
ULF/3000/5000/MI.XH.HRET,ULF/3000/5000/MI.XH.HRET
UNICESTA,UNICESTA
UNICESTA 4000,UNICESTA 4000
UNIDAD MOVIL,UNIDAD MOVIL
UNO,UNO
UNO FIRE,UNO FIRE
UTM 855,UTM 855
V10,V10
V100,V100
VANS,VANS
VDR-320,VDR-320
VESTRON 650,VESTRON 650
VITARA,VITARA
WAGON CAPTIVA,WAGON CAPTIVA
WILLYS,WILLYS
WLANGLER,WLANGLER
WOR STAR,WOR STAR
WRANGLER,WRANGLER
WRANGLER 4X4,WRANGLER 4X4
WRANGLER BASICO,WRANGLER BASICO
X1,X1
XEN125,XEN125
XZU650L-HKMML3,300 (650)
XZU710L-HKFRL3,300 (710)
XZU710LHKFRL3 (816-300),300 (816)
XZU720L300,300
YARIS,Yaris
YC4E1630,YC4E1630
YTZ9400TPB,YTZ9400TPB
YTZ9401TDP,YTZ9401TDP
Z4525,Z4525
ZK6100NGA9,ZK6100NGA9
ZK6118HGA,ZK6118HGA
ZK672902,ZK672902
ZK6729D2,ZK6729D2
ZK6852HG,ZK6852HG
ZK6860D,ZK6860D
ZK6860DBUS,ZK6860DBUS
ZK6896HGA,ZK6896HGA
ZNA,ZNA Rich
ZNA 4X2,ZNA 4X2
ZNA 4X4,ZNA Rich 4x4
ZNA 4X4 DOBLE CABIBA,ZNA Rich 4x4
ZNA 4X4 DOBLE CABINA,ZNA Rich 4x4
ZNA D/C 4X4,ZNA D/C 4X4
ZNA RICH,ZNA RICH
ZNA-4X4,ZNA-4X4
ZNA-RICH-4X2,ZNA-RICH-4X2
ZNA-RICH-4X4,ZNA-RICH-4X4
ZZ4257V3247N1B,ZZ4257V3247N1B
rosenbauer,rosenbauer
